ip;network-operator;router vendor;model version;firmware version;successful protocols;Geo;AS-Number;BGP-Prefix;Org
1.171.116.229;;;;V1.1.1150;http80;TWN;3462.0;1.171.0.0/16;HINET Data Communication Business Group
1.179.147.171;;;;;http8080,https443,ssh;THA;131293.0;1.179.147.0/24;TOT-LLI-AS-AP TOT Public Company Limited
1.179.157.168;;;;;http80,https443;THA;131293.0;1.179.157.0/24;TOT-LLI-AS-AP TOT Public Company Limited
1.179.157.171;;;;;http80,https443;THA;131293.0;1.179.157.0/24;TOT-LLI-AS-AP TOT Public Company Limited
1.179.175.208;;;;;http80,https443,ssh;THA;131293.0;1.179.175.0/24;TOT-LLI-AS-AP TOT Public Company Limited
1.179.175.211;;;;;http80,http8080,https443,ssh;THA;131293.0;1.179.175.0/24;TOT-LLI-AS-AP TOT Public Company Limited
1.179.191.40;;;;v7.02;http80,http8080,https443,ssh;THA;131293.0;1.179.191.0/24;TOT-LLI-AS-AP TOT Public Company Limited
1.179.191.43;;;;v7.02;http80,http8080,https443,ssh;THA;131293.0;1.179.191.0/24;TOT-LLI-AS-AP TOT Public Company Limited
1.179.191.76;;;;v7.02;http80,https443,ssh;THA;131293.0;1.179.191.0/24;TOT-LLI-AS-AP TOT Public Company Limited
1.179.191.79;;;;;http8080,https443,ssh;THA;131293.0;1.179.191.0/24;TOT-LLI-AS-AP TOT Public Company Limited
1.44.112.225;;;;;http80,http8080,https443,ssh;AUS;7474.0;1.44.0.0/16;OPTUSCOM-AS01-AU SingTel Optus Pty Ltd
1.44.155.65;;;;;http80,http8080,https443,ssh;AUS;7474.0;1.44.0.0/16;OPTUSCOM-AS01-AU SingTel Optus Pty Ltd
101.0.5.67;;Mikrotik;RB750Gr3;RouterOS;snmp;IDN;55670.0;101.0.5.0/24;UNIVERSALNET-AS-ID PT. Universal Broadband
101.0.5.70;;Mikrotik;RB750Gr3;RouterOS;snmp;IDN;55670.0;101.0.5.0/24;UNIVERSALNET-AS-ID PT. Universal Broadband
101.0.6.217;;Mikrotik;RB3011UiAS;RouterOS;snmp;IDN;55670.0;101.0.6.0/24;UNIVERSALNET-AS-ID PT. Universal Broadband
