ip;network-operator;router vendor;model version;firmware version;successful protocols
1.171.116.229;;;;V1.1.1150;http80
1.179.147.171;;;;;http8080,https443,ssh
1.179.157.168;;;;;http80,https443
1.179.157.171;;;;;http80,https443
1.179.175.208;;;;;http80,https443,ssh
1.179.175.211;;;;;http80,http8080,https443,ssh
1.179.191.40;;;;v7.02;http80,http8080,https443,ssh
1.179.191.43;;;;v7.02;http80,http8080,https443,ssh
1.179.191.76;;;;v7.02;http80,https443,ssh
1.179.191.79;;;;;http8080,https443,ssh
1.44.112.225;;;;;http80,http8080,https443,ssh
1.44.155.65;;;;;http80,http8080,https443,ssh
101.0.5.67;;Mikrotik;RB750Gr3;RouterOS;snmp
101.0.5.70;;Mikrotik;RB750Gr3;RouterOS;snmp
101.0.6.217;;Mikrotik;RB3011UiAS;RouterOS;snmp
101.0.7.102;;Mikrotik;CCR1016-12G;RouterOS;snmp
101.109.113.204;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
101.255.121.1;;Mikrotik;RB750r2;RouterOS;snmp
101.255.121.3;;Mikrotik;RB750r2;RouterOS;snmp
101.255.121.4;;Mikrotik;RB750r2;RouterOS;snmp
101.255.125.89;;Mikrotik;RB3011UiAS;RouterOS;snmp
101.255.126.194;;Mikrotik;CCR1016-12G;RouterOS;snmp
101.255.140.61;;Mikrotik;RB3011UiAS;RouterOS;snmp
101.255.157.2;;Mikrotik;RB1100x4;RouterOS;http80,https443,snmp
101.255.251.14;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
101.255.77.34;;Mikrotik;;RouterOS,v6.49.15;http80,https443
102.0.12.132;;Mikrotik;;RouterOS,v6.49.10;http80,ssh
102.129.88.50;;Mikrotik;CCR1036-12G-4S;RouterOS;snmp
102.134.4.100;;;;v1.3;http80,https443
102.210.173.194;;Mikrotik;;RouterOS;http80,ssh
102.210.212.213;;;;;ssh
102.210.213.213;;;;;ssh
102.212.240.104;;ZTE;;;http80,https443
102.212.240.217;;ZTE;;;http80,https443
102.212.240.218;;;;;http80
102.212.240.50;;;;;http80,https443,ssh
102.212.240.90;;;;;http80,ssh
102.212.241.155;;;;;http80,https443
102.212.241.209;;;;;http80,ssh
102.212.241.242;;;;;http80,ssh
102.212.241.62;;;;;http80,ssh
102.212.241.67;;ZTE;;;http80,https443
102.212.243.0;;Mikrotik;CCR2116-12G-4S+;RouterOS;snmp
102.212.243.118;;ZTE;;;http80,https443
102.212.243.14;;;;;http80,ssh
102.212.243.148;;ZTE;;;http80,https443
102.212.243.210;;;Linux egwim_anita 2.6.32.27 #1 Wed Oct 13 15:32:16 UTC 2021 mips;;http80,snmp,ssh
102.212.243.66;;ZTE;;;http80,https443
102.212.243.70;;;;;http80,https443,ssh
102.212.243.82;;;;;http80
102.213.216.3;;Mikrotik;;RouterOS,v6.49.18;http80,http8080
102.213.219.234;;Mikrotik;;RouterOS;http80
102.215.196.146;;Mikrotik;CCR1009-7G-1C;RouterOS;snmp
102.215.99.100;;Ubiquiti;;;http80,https443,ssh
102.215.99.105;;Ubiquiti;;;http80,https443,ssh
102.215.99.111;;Ubiquiti;;;http80,https443,ssh
102.215.99.66;;Ubiquiti;;;http80,https443,ssh
102.215.99.67;;Ubiquiti;;;http80,https443,ssh
102.215.99.68;;Ubiquiti;;;http80,https443,ssh
102.215.99.70;;Ubiquiti;;;http80,https443,ssh
102.215.99.71;;Ubiquiti;;;http80,https443,ssh
102.215.99.74;;Ubiquiti;;;http80,https443,ssh
102.215.99.75;;Ubiquiti;;;http80,https443,ssh
102.215.99.76;;Ubiquiti;;;http80,https443,ssh
102.215.99.78;;Ubiquiti;;;http80,https443,ssh
102.215.99.81;;Ubiquiti;;;http80,https443,ssh
102.215.99.83;;Ubiquiti;;;http80,https443,ssh
102.215.99.84;;Ubiquiti;;;http80,https443,ssh
102.215.99.85;;Ubiquiti;;;http80,https443,ssh
102.215.99.86;;Ubiquiti;;;http80,http8080,https443,ssh
102.215.99.87;;Ubiquiti;;;http80,http8080,https443,ssh
102.215.99.88;;Ubiquiti;;;http80,https443,ssh
102.215.99.91;;Ubiquiti;;;http80,https443,ssh
102.215.99.93;;Ubiquiti;;;http80,https443,ssh
102.215.99.95;;Ubiquiti;;;http80,https443,ssh
102.215.99.96;;Ubiquiti;;;http80,https443,ssh
102.215.99.97;;Ubiquiti;;;http80,https443,ssh
102.215.99.98;;Ubiquiti;;;http80,https443,ssh
102.216.32.167;;;;;http80,http8080
102.216.32.40;;;;;http80,https443,ssh
102.216.32.52;;ZTE;;;http80,https443
102.216.33.196;;;;V2.5;http80,https443,ssh
102.216.33.61;;;Linux jerimia_ufomba 2.6.32.27 #1 Mon May 31 20:47:46 UTC 2021 mips;;http80,snmp,ssh
102.216.34.236;;ZTE;;;http80,https443
102.216.34.240;;ZTE;;;http80
102.216.34.253;;ZTE;;;http80,https443
102.216.34.56;;ZTE;;;http80,https443
102.216.75.120;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
102.218.174.81;;;;;http80,https443,ssh
102.219.182.58;;Mikrotik;RB1100AHx2;RouterOS;snmp
102.22.216.124;;;;;http80
102.22.216.141;;ZTE;;;http80,https443
102.22.216.17;;;;;http80,http8080,https443
102.22.216.31;;;;;http80
102.22.217.106;;;;;http80
102.22.217.119;;;;;http80,https443,ssh
102.22.217.158;;;;;http80,https443
102.22.217.24;;ZTE;;;http80,https443
102.22.217.4;;ZTE;;;http80,https443
102.22.217.57;;;;;http80,http8080,https443
102.22.218.110;;ZTE;;;http80,https443
102.22.218.161;;ZTE;;;http80,https443
102.22.219.107;;;;;http80,https443,ssh
102.22.219.29;;;;;http80,https443
102.22.219.91;;ZTE;;;http80,https443
102.22.220.125;;;Linux ALEXANDER TORITSEJU YALAJU 2.6.32.27 #1 Mon Feb 8 10:46:33 UTC 2021 mips;;http80,snmp,ssh
102.22.220.129;;;;;http80,https443,ssh
102.22.220.135;;;;;http80,http8080,https443
102.22.220.179;;ZTE;;;http80,https443
102.22.220.216;;ZTE;;;http80,https443
102.22.220.246;;;;V2.5;http80,ssh
102.22.220.254;;ZTE;;;http80,https443
102.22.221.194;;ZTE;;;http80,http8080,https443
102.22.221.62;;ZTE;;;http80,https443
102.22.221.69;;;;;http80
102.22.221.70;;ZTE;;;http80,https443
102.22.222.108;;ZTE;;;http80,https443
102.22.222.134;;ZTE;;;http80,https443
102.22.222.17;;;;;http80
102.22.222.176;;ZTE;;;http80,https443
102.22.222.34;;ZTE;;;http80,https443
102.22.222.38;;ZTE;;;http80,https443
102.22.222.63;;;;;http80,https443,ssh
102.220.142.202;;Mikrotik;RB4011iGS+;RouterOS;snmp
102.221.44.154;;ZTE;;;http80,https443
102.221.45.188;;;;;http80,ssh
102.221.45.220;;ZTE;;;http80,https443
102.221.45.249;;;;;http80,https443,ssh
102.221.45.51;;ZTE;;;http80,https443
102.221.45.58;;;;;http80,https443,ssh
102.221.46.10;;ZTE;;;http80,http8080
102.221.46.29;;ZTE;;;http80,https443
102.221.46.34;;;;;http80,https443
102.222.240.10;;Mikrotik;RB5009UG+S+;RouterOS;snmp
102.222.240.20;;Mikrotik;C53UiG+5HPaxD2HPaxD;RouterOS;snmp
102.222.240.5;;;;;http80,http8080
102.222.241.20;;Mikrotik;RBD53iG-5HacD2HnD;RouterOS;snmp
102.222.242.128;;Mikrotik;RB750GL;RouterOS;snmp
102.222.243.116;;Mikrotik;RB750Gr3;RouterOS;snmp
102.222.243.250;;Mikrotik;CCR2116-12G-4S+;RouterOS;snmp
102.222.243.251;;Mikrotik;CCR2116-12G-4S+;RouterOS;snmp
102.222.243.30;;Mikrotik;RB5009UG+S+;RouterOS;snmp
102.223.208.3;;Mikrotik;CCR1036-12G-4S;RouterOS;snmp
102.223.34.1;;Mikrotik;;RouterOS;http80
102.223.34.101;;Mikrotik;;RouterOS;http80,ssh
102.223.34.105;;Mikrotik;;RouterOS;http80,ssh
102.223.34.109;;Mikrotik;;RouterOS;http80,ssh
102.223.34.113;;Mikrotik;;RouterOS;http80
102.223.34.114;;Mikrotik;;RouterOS;http80
102.223.34.117;;Mikrotik;;RouterOS;http80,ssh
102.223.34.14;;;;;http80,https443
102.223.34.2;;;;;http80,https443,ssh
102.223.34.24;;Mikrotik;;RouterOS;http80,ssh
102.223.34.33;;Mikrotik;;RouterOS;http80,ssh
102.223.34.34;;;;;ssh
102.223.34.37;;Mikrotik;;RouterOS;http80,ssh
