resolver_name;resolver_addr
Google;8.8.8.8
Google;8.8.4.4
Cloudflare;1.1.1.1
Cloudflare;1.0.0.1
OpenDNS;208.67.222.222
OpenDNS;208.67.220.220
Level 3;209.244.0.3
Level 3;209.244.0.4
Verisign;64.6.64.6
Verisign;64.6.65.6
Quad9;9.9.9.9
Quad9;149.112.112.112
Comodo Secure DNS;8.26.56.26
Comodo Secure DNS;8.20.247.20
DNS.WATCH;84.200.69.80
DNS.WATCH;84.200.70.40
Norton ConnectSafe;199.85.126.10
Norton ConnectSafe;199.85.127.10
GreenTeamDNS;81.218.119.11
GreenTeamDNS;209.88.198.133
SafeDNS;195.46.39.39
SafeDNS;195.46.39.40
OpenNIC;185.121.177.177
OpenNIC;169.239.202.202
SmartViper;208.76.50.50
SmartViper;208.76.51.51
Freenom World;80.80.80.80
Freenom World;80.80.81.81
Dyn;216.146.35.35
Dyn;216.146.36.36
FreeDNS;37.235.1.174
FreeDNS;37.235.1.177
Alternate DNS;198.101.242.72
Alternate DNS;23.253.163.53
Yandex.DNS;77.88.8.8
Yandex.DNS;77.88.8.1
UncensoredDNS;91.239.100.100
UncensoredDNS;89.233.43.71
Hurricane Electric;74.82.42.42
puntCAT;109.69.8.51
Neustar;156.154.70.1
Neustar;156.154.71.1
CNNIC SDNS;1.2.4.8
CNNIC SDNS;210.2.4.8
AliDNS;223.5.5.5
AliDNS;223.6.6.6
Baidu Public DNS;180.76.76.76
DNSPod Public DNS+;119.29.29.29
DNSPod Public DNS+;119.28.28.28
114DNS;114.114.114.114
114DNS;114.114.115.115
OneDNS;117.50.11.11
OneDNS;117.50.22.22
DNSpai;101.226.4.6
DNSpai;218.30.118.6
