1.0.0.1;893;500
101.226.4.6;1851;1851
109.69.8.51;0;0
1.1.1.1;995;817
114.114.114.114;58;50
114.114.115.115;58;50
117.50.11.11;0;0
117.50.22.22;283;283
119.28.28.28;1826;1826
119.29.29.29;2033;2033
1.2.4.8;2043;2043
149.112.112.112;2116;2116
156.154.70.1;2221;2221
156.154.71.1;2226;2226
169.239.202.202;0;0
180.76.76.76;1762;1762
185.121.177.177;0;0
195.46.39.39;0;0
195.46.39.40;0;0
198.101.242.72;0;0
199.85.126.10;2238;2238
199.85.127.10;2190;2190
208.67.220.220;798;201
208.67.222.222;797;206
208.76.50.50;0;0
208.76.51.51;0;0
209.244.0.3;589;450
209.244.0.4;588;450
209.88.198.133;0;0
210.2.4.8;0;0
216.146.35.35;149;100
216.146.36.36;149;100
218.30.118.6;1953;1953
223.5.5.5;1825;1825
223.6.6.6;1953;1953
23.253.163.53;0;0
37.235.1.174;0;0
37.235.1.177;0;0
64.6.64.6;192;53
64.6.65.6;2233;2233
74.82.42.42;986;554
77.88.8.1;26;26
77.88.8.8;30;26
80.80.80.80;1971;1971
80.80.81.81;42;4
81.218.119.11;0;0
8.20.247.20;1993;1993
8.26.56.26;0;0
84.200.69.80;23;23
84.200.70.40;969;395
8.8.4.4;2189;2189
8.8.8.8;2191;2191
89.233.43.71;0;0
91.239.100.100;0;0
9.9.9.9;2111;2111
