scan_id;country_request;Transparent Forwarder;Forwarder;diff_response_time
0;ARG;255.46002388000488;286.31699085235596;-30.856966972351074
0;BRA;230.58795928955078;262.1300220489502;-31.542062759399414
0;CHN;205.90615272521973;258.6228847503662;-52.716732025146484
0;USA;167.45305061340332;183.90512466430664;-16.45207405090332
1;BRA;241.61100387573242;279.16407585144043;-37.55307197570801
1;USA;170.78208923339844;185.9738826751709;-15.191793441772461
1;CHN;207.98945426940918;261.0294818878174;-53.0400276184082
1;ARG;254.07147407531738;286.5729331970215;-32.5014591217041
2;CHN;208.00447463989258;263.03815841674805;-55.03368377685547
2;USA;171.71001434326172;189.00203704833984;-17.292022705078125
2;BRA;240.97585678100586;280.8859348297119;-39.910078048706055
2;ARG;255.8579444885254;288.7721061706543;-32.914161682128906
3;USA;168.75481605529785;186.55765056610107;-17.802834510803223
3;BRA;240.24701118469238;280.27498722076416;-40.02797603607178
3;ARG;256.303071975708;288.12313079833984;-31.820058822631836
3;CHN;208.24193954467773;262.31908798217773;-54.0771484375
4;BRA;240.8149242401123;265.28382301330566;-24.46889877319336
4;USA;168.89715194702148;179.8110008239746;-10.913848876953125
4;ARG;256.2539577484131;285.5384349822998;-29.28447723388672
4;CHN;209.64646339416504;265.8247947692871;-56.17833137512207
5;BRA;245.45812606811523;271.43406867980957;-25.975942611694336
5;USA;173.58291149139404;188.04848194122314;-14.465570449829102
5;ARG;255.3272247314453;287.0650291442871;-31.737804412841797
5;CHN;211.55810356140137;267.01152324676514;-55.45341968536377
6;CHN;232.85341262817383;264.5699977874756;-31.716585159301758
6;BRA;240.7844066619873;272.02045917510986;-31.23605251312256
6;USA;169.74806785583496;185.88364124298096;-16.135573387145996
6;ARG;256.58702850341797;289.323091506958;-32.73606300354004
7;USA;172.7464199066162;184.68785285949707;-11.94143295288086
7;ARG;256.0248374938965;289.11900520324707;-33.094167709350586
7;CHN;233.49392414093018;262.53199577331543;-29.038071632385254
7;BRA;243.65782737731934;275.82311630249023;-32.1652889251709
8;ARG;252.7010440826416;284.99388694763184;-32.292842864990234
8;CHN;245.60952186584473;268.5739994049072;-22.9644775390625
8;USA;167.120099067688;180.14001846313477;-13.019919395446777
8;BRA;241.6849136352539;269.95301246643066;-28.268098831176758
9;USA;167.2821044921875;182.42502212524414;-15.14291763305664
9;BRA;231.3864231109619;257.9629421234131;-26.576519012451172
9;ARG;259.052038192749;286.59749031066895;-27.545452117919922
9;CHN;252.1040439605713;272.02606201171875;-19.92201805114746
10;USA;183.40039253234863;200.37853717803955;-16.978144645690918
10;BRA;231.76121711730957;259.36293601989746;-27.60171890258789
10;CHN;249.84204769134521;271.3279724121094;-21.48592472076416
10;ARG;254.42242622375488;285.3250503540039;-30.902624130249023
11;USA;167.1438217163086;180.57334423065186;-13.429522514343262
11;ARG;252.96449661254883;282.0490598678589;-29.08456325531006
11;BRA;230.1621437072754;255.2100419998169;-25.047898292541504
11;CHN;209.22386646270752;267.26222038269043;-58.03835391998291
12;CHN;219.85602378845215;271.72207832336426;-51.86605453491211
12;BRA;231.21309280395508;256.8315267562866;-25.618433952331543
12;USA;170.32909393310547;184.9980354309082;-14.668941497802734
12;ARG;255.9494972229004;283.45251083374023;-27.503013610839844
13;CHN;214.87903594970703;269.88792419433594;-55.008888244628906
13;ARG;253.27110290527344;287.14215755462646;-33.87105464935303
13;USA;170.16220092773438;184.9905252456665;-14.828324317932129
13;BRA;231.55593872070312;256.2990188598633;-24.743080139160156
14;CHN;215.00861644744873;265.3219699859619;-50.313353538513184
14;USA;170.64261436462402;183.9843988418579;-13.341784477233887
14;BRA;234.4874143600464;253.9520263671875;-19.464612007141113
14;ARG;256.8318843841553;284.47699546813965;-27.645111083984375
15;CHN;253.11005115509033;272.43995666503906;-19.32990550994873
15;BRA;234.8325252532959;259.1550350189209;-24.322509765625
15;ARG;256.0000419616699;287.7068519592285;-31.706809997558594
15;USA;172.31595516204834;191.09344482421875;-18.77748966217041
16;USA;167.22548007965088;179.88741397857666;-12.661933898925781
16;BRA;235.10003089904785;254.35209274291992;-19.25206184387207
16;ARG;251.8444061279297;283.05554389953613;-31.211137771606445
16;CHN;185.66393852233887;260.68758964538574;-75.02365112304688
17;BRA;235.71443557739258;258.24809074401855;-22.533655166625977
17;USA;170.22037506103516;181.69188499450684;-11.47150993347168
17;CHN;183.5010051727295;243.10541152954102;-59.60440635681152
17;ARG;254.98104095458984;285.63785552978516;-30.656814575195312
18;ARG;256.58679008483887;291.4929389953613;-34.90614891052246
18;CHN;185.97698211669922;249.6323585510254;-63.65537643432617
18;BRA;231.20558261871338;261.11602783203125;-29.91044521331787
18;USA;179.12602424621582;210.56604385375977;-31.440019607543945
19;BRA;230.47304153442383;263.995885848999;-33.522844314575195
19;USA;178.75957489013672;216.90714359283447;-38.147568702697754
19;CHN;187.5150203704834;247.33805656433105;-59.823036193847656
19;ARG;256.61706924438477;283.0090522766113;-26.391983032226562
20;USA;181.5810203552246;220.07203102111816;-38.491010665893555
20;CHN;188.89379501342773;248.89421463012695;-60.00041961669922
20;ARG;256.51001930236816;282.19497203826904;-25.68495273590088
20;BRA;230.87501525878906;262.82691955566406;-31.951904296875
